      5,594,419  GC Heap bytes
         63,830  GC Heap objects

   Object Bytes     Count  Type
            168        21  System.Windows.Trigger  [PresentationFramework.dll]
            168         8  System.Windows.ContainerDependent[]  [PresentationFramework.dll]
            168         7  MS.Utility.SixItemList<System.Windows.ChildPropertyDependent>  [WindowsBase.dll]
            168         3  ToolStripItemLayoutOptions  [System.Windows.Forms.dll]
            168         2  MS.Utility.SixItemList<System.Windows.Dependent>  [WindowsBase.dll]
            168         1  System.Windows.Documents.TextStore  [PresentationFramework.dll]
            168         1  System.Xaml.XamlSchemaContext  [System.Xaml.dll]
            168         1  System.Configuration.KeyValueConfigurationCollection  [System.Configuration.ConfigurationManager.dll]
            168         1  System.Windows.Controls.TextBoxLineDrawingVisual  [PresentationFramework.dll]
            164         1  TextServicesAttribute[]  [PresentationFramework.dll]
            160        59  System.Windows.Controls.ColumnDefinition  [PresentationFramework.dll]
            160        46  RuntimeTypeCache  [System.Private.CoreLib.dll]
            160        28  System.Windows.Controls.RowDefinition  [PresentationFramework.dll]
            160        14  VolatileNode<System.Xaml.XamlDirective,System.Xaml.XamlMember>[]  [System.Collections.Concurrent.dll]
            160         8  VolatileNode<System.String,System.Xaml.XamlType>[]  [System.Collections.Concurrent.dll]
            160         3  LayoutData  [System.Windows.Forms.dll]
            160         3  Plane[]  [PresentationCore.dll]
            160         2  System.Globalization.CalendarData  [System.Private.CoreLib.dll]
            160         1  VolatileNode<System.Type,System.Xaml.XamlType>[]  [System.Collections.Concurrent.dll]
            160         1  VolatileNode<System.Xaml.Schema.ReferenceEqualityTuple<System.Reflection.MemberInfo,System.Reflection.MemberInfo>,System.Xaml.XamlMember>[]  [System.Collections.Concurrent.dll]
            160         1  VolatileNode<System.Xaml.Schema.ReferenceEqualityTuple<System.Type,System.Xaml.XamlType,System.Type>,System.Object>[]  [System.Collections.Concurrent.dll]
            160         1  System.Windows.Input.Win32KeyboardDevice  [PresentationCore.dll]
            160         1  VolatileNode<System.String,System.Xaml.Schema.XamlNamespace>[]  [System.Collections.Concurrent.dll]
            160         1  System.Windows.Controls.ItemContainerGenerator  [PresentationFramework.dll]
            160         1  ScrollData  [PresentationFramework.dll]
            152       151  Entry<System.Object,System.Object>[]  [System.Private.CoreLib.dll]
            152       140  System.Xaml.Schema.MemberReflector  [System.Xaml.dll]
            152       102  System.Windows.Media.GlyphRun  [PresentationCore.dll]
            152        15  System.Reflection.Emit.DynamicILGenerator  [System.Private.CoreLib.dll]
            152         4  System.Windows.Input.CommandBinding[]  [PresentationCore.dll]
            152         3  Entry<System.Buffers.SharedArrayPoolThreadLocalArray[],System.Object>[]  [System.Private.CoreLib.dll]
            152         3  System.Windows.Input.InputBinding[]  [PresentationCore.dll]
            152         1  System.Windows.UncommonField<System.Windows.Controls.HierarchicalVirtualizationItemDesiredSizes>  [WindowsBase.dll]
            152         1  Entry<System.Text.Json.JsonSerializerOptions,System.Object>[]  [System.Private.CoreLib.dll]
            152         1  Entry<System.Windows.Forms.IKeyboardToolTip,System.WeakReference<System.Windows.Forms.ToolTip>>[]  [System.Private.CoreLib.dll]
            152         1  MS.Internal.Data.CollectionViewGroupRoot  [PresentationFramework.dll]
            144       263  System.Windows.Data.BindingExpression  [PresentationFramework.dll]
            144        20  MS.Utility.ThreeItemList<System.Windows.PropertyValue>  [WindowsBase.dll]
            144        16  System.Windows.Data.MultiBindingExpression  [PresentationFramework.dll]
            144         2  EscaperImplementation  [System.Text.Encodings.Web.dll]
            144         1  WorkingThreadCounter  [System.Private.CoreLib.dll]
            144         1  System.Windows.Data.CollectionViewSource  [PresentationFramework.dll]
            144         1  Entry<MS.Internal.ComponentModel.PropertyKey,MS.Internal.ComponentModel.DependencyPropertyKind>[]  [System.Private.CoreLib.dll]
            144         1  System.Windows.Media.Animation.TimeManager  [PresentationCore.dll]
            144         1  AsyncStateMachineBox<System.Threading.Tasks.VoidTaskResult,SwitchBlade.Services.BackgroundPollingService+<PollingLoop>d__10>  [System.Private.CoreLib.dll]
            136       120  System.Windows.Baml2006.WpfKnownMember  [PresentationFramework.dll]
            136         5  System.Configuration.RuntimeConfigurationRecord  [System.Configuration.ConfigurationManager.dll]
            136         3  System.Windows.Baml2006.Baml2006Reader  [PresentationFramework.dll]
            136         2  System.Windows.Documents.Run  [PresentationFramework.dll]
            136         1  Entry<System.Int32,System.Boolean>[]  [System.Private.CoreLib.dll]
            128       123  MS.Internal.Xaml.Context.ObjectWriterFrame  [System.Xaml.dll]
            128        15  System.Reflection.Emit.DynamicMethod  [System.Private.CoreLib.dll]
            128         6  System.Resources.ResourceReader  [System.Private.CoreLib.dll]
            128         4  System.Windows.DataTrigger  [PresentationFramework.dll]
            128         1  SwitchBlade.ViewModels.MainViewModel  [SwitchBlade.dll]
            128         1  NodeData  [System.Private.Xml.dll]
            128         1  System.Configuration.AppSettingsSection  [System.Configuration.ConfigurationManager.dll]
            128         1  System.Windows.Shell.WindowChromeWorker  [PresentationFramework.dll]
            128         1  System.Windows.Documents.TextSelection  [PresentationFramework.dll]
            128         1  System.Windows.Interop.HwndMouseInputProvider  [PresentationCore.dll]
            120        92  Entry<MS.Utility.ItemStructList<System.Windows.ChildValueLookup>>[]  [PresentationFramework.dll]
            120        16  System.Windows.FrameworkElementFactory  [PresentationFramework.dll]
            120         8  Entry<System.Int32,System.Windows.Baml2006.Baml6ConstructorInfo>[]  [System.Private.CoreLib.dll]
            120         8  System.Windows.MultiDataTrigger  [PresentationFramework.dll]
            120         6  MS.Utility.SixObjectMap  [WindowsBase.dll]
            120         5  Entry<System.String,System.Resources.ResourceLocator>[]  [System.Private.CoreLib.dll]
            120         5  System.Windows.MultiTrigger  [PresentationFramework.dll]
            120         4  MS.Utility.SixItemList<System.Windows.ChildRecord>  [WindowsBase.dll]
            120         2  System.InvalidOperationException  [System.Private.CoreLib.dll]
            120         1  System.OutOfMemoryException  [System.Private.CoreLib.dll]
            120         1  System.StackOverflowException  [System.Private.CoreLib.dll]
            120         1  System.ExecutionEngineException  [System.Private.CoreLib.dll]
            120         1  Entry<System.Guid,System.Diagnostics.Tracing.EventSource+OverrideEventProvider>[]  [System.Private.CoreLib.dll]
            120         1  System.Configuration.SectionInformation  [System.Configuration.ConfigurationManager.dll]
            120         1  MS.Utility.SixItemList<System.Windows.ContainerDependent>  [WindowsBase.dll]
            112       173  System.Globalization.CultureInfo  [System.Private.CoreLib.dll]
            112        40  MS.Internal.AutomationProxies.WindowsMenu  [UIAutomationClientsideProviders.dll]
            112        36  VolatileNode<System.String,System.Xaml.XamlMember>[]  [System.Collections.Concurrent.dll]
            112        20  MS.Internal.AutomationProxies.WindowsStatusBar  [UIAutomationClientsideProviders.dll]
            112         3  ControlNativeWindow  [System.Windows.Forms.dll]
            112         2  System.Reflection.RuntimeEventInfo[][]  [System.Private.CoreLib.dll]
            112         2  System.Windows.Documents.TextContainer  [PresentationFramework.dll]
            112         1  System.Windows.Interop.ComponentDispatcherThread  [WindowsBase.dll]
            112         1  SwitchBlade.Services.UserSettings  [SwitchBlade.dll]
            112         1  System.Windows.Forms.NotifyIcon  [System.Windows.Forms.dll]
            112         1  System.Windows.ContextLayoutManager  [PresentationCore.dll]
            112         1  System.Windows.Documents.ImmComposition  [PresentationFramework.dll]
            104     2,305  System.Reflection.RuntimeMethodInfo  [System.Private.CoreLib.dll]
            104     1,432  System.Reflection.RuntimePropertyInfo  [System.Private.CoreLib.dll]
            104       730  System.Object[]  [System.Private.CoreLib.dll]
            104       446  SwitchBlade.Contracts.WindowItem  [SwitchBlade.Contracts.dll]
            104       150  System.Windows.Media.RenderData  [PresentationCore.dll]
            104        40  MS.Internal.AutomationProxies.WindowsScrollBar  [UIAutomationClientsideProviders.dll]
            104        28  System.Reflection.RuntimeConstructorInfo  [System.Private.CoreLib.dll]
            104         9  System.IntPtr[]  [System.Private.CoreLib.dll]
            104         3  AdjustmentRule  [System.Private.CoreLib.dll]
            104         2  System.Configuration.ConfigurationProperty  [System.Configuration.ConfigurationManager.dll]
            104         2  System.Configuration.SectionXmlInfo  [System.Configuration.ConfigurationManager.dll]
            104         2  AttributeEntry[]  [System.ComponentModel.TypeConverter.dll]
            104         1  HandleType[]  [WindowsBase.dll]
            104         1  AssemblyRecord[]  [WindowsBase.dll]
            104         1  NotifyIconNativeWindow  [System.Windows.Forms.dll]
            104         1  System.Windows.Forms.ToolStripProfessionalRenderer  [System.Windows.Forms.dll]
             96       340  MenuItem  [UIAutomationClientsideProviders.dll]
             96       100  MS.Internal.AutomationProxies.NonClientArea  [UIAutomationClientsideProviders.dll]
             96        84  MS.Utility.ThreeItemList<System.Windows.Dependent>  [WindowsBase.dll]
             96        54  Entry<System.String,System.Xaml.XamlMember>[]  [System.Private.CoreLib.dll]
             96        47  System.Windows.Baml2006.WpfXamlType  [PresentationFramework.dll]
             96        40  MS.Internal.AutomationProxies.WindowsTab  [UIAutomationClientsideProviders.dll]
             96        32  System.Threading.TimerQueue  [System.Private.CoreLib.dll]
             96        30  System.Xaml.XamlObjectWriterSettings  [System.Xaml.dll]
             96        23  MS.Utility.ThreeItemList<System.Windows.ChildPropertyDependent>  [WindowsBase.dll]
             96        21  System.Windows.Baml2006.WpfXamlMember  [PresentationFramework.dll]
             96        20  MS.Internal.AutomationProxies.WindowsRebar  [UIAutomationClientsideProviders.dll]
             96        20  MS.Internal.AutomationProxies.WindowsUpDown  [UIAutomationClientsideProviders.dll]
             96        20  RebarBandChildOverrideProxy  [UIAutomationClientsideProviders.dll]
